Time,Live Demand,Winter Peak Demand,Orkney ANM,Non-ANM Renewable Generation,Total Renewable Capacity,Wind speed,Humidity,Temperature
Sun Oct 20 09:40:04 2019,14.92,20.78,15.357001,23.154,18.588999,10.3,81,7.38
Sun Oct 20 09:50:03 2019,15.44,20.26,14.006998,23.783,19.310002,10.3,81,7.38
Sun Oct 20 10:00:04 2019,15.09,20.61,14.608003,23.243,19.248997,10.3,81,7.38
Sun Oct 20 10:10:03 2019,15.58,20.12,14.925997,22.831,19.343003,9.3,81,7.73
Sun Oct 20 10:20:03 2019,14.66,21.04,13.15,19.76,24.19,9.3,81,7.73
Sun Oct 20 10:30:03 2019,15.58,20.12,13.798004,21.817,21.484996,9.3,81,7.73
Sun Oct 20 10:40:03 2019,16.86,18.84,13.646,22.006,21.448,9.3,87,7.72
Sun Oct 20 10:50:04 2019,15.67,20.03,12.329998,22.747,22.023002,9.3,87,7.73
Sun Oct 20 11:00:03 2019,15.48,20.22,13.752002,21.7,21.647998,9.3,87,7.93
Sun Oct 20 11:20:04 2019,16.47,19.23,14.686001,20.975,21.438999,7.2,81,8.12
Sun Oct 20 11:30:03 2019,16.39,19.31,13.772999,21.417,21.910001,7.2,81,7.93
Sun Oct 20 11:40:04 2019,17.1,18.6,13.683,20.395,23.022,8.7,81,8.57
Sun Oct 20 11:50:03 2019,15.36,20.34,13.145,19.329,24.626,8.7,81,8.57
Sun Oct 20 12:00:03 2019,15.98,19.72,14.066001,20.897,22.136999,8.7,81,8.59
Sun Oct 20 12:10:03 2019,17.32,18.38,14.461003,21.604,21.034997,9.3,76,8.23
Sun Oct 20 12:20:04 2019,17.31,18.39,13.348003,22.334,21.417997,9.3,76,8.23
Sun Oct 20 12:30:03 2019,16.49,19.21,11.692999,21.393,24.014001,9.3,76,8.05
Sun Oct 20 12:40:04 2019,16.23,19.47,13.113998,17.367,26.619002,8.2,76,8.03
Sun Oct 20 12:50:03 2019,16.21,19.49,13.298,18.597,25.205,8.2,76,8.02
Sun Oct 20 13:00:04 2019,14.98,20.72,10.964999,14.703,31.432001,8.2,76,8.23
Sun Oct 20 13:10:05 2019,15.59,20.11,10.270999,19.98,26.849001,6.2,76,8.42
Sun Oct 20 13:20:04 2019,15.85,19.85,12.245001,20.256,24.598999,6.2,76,8.23
Sun Oct 20 13:30:03 2019,16.05,19.65,10.650002,20.477,25.972998,6.2,76,8.23
Sun Oct 20 13:40:03 2019,15.96,19.74,11.202,21.707,24.191,8.2,81,8.46
Sun Oct 20 13:50:03 2019,15.38,20.32,11.489001,16.638,28.972999,8.2,81,8.46
Sun Oct 20 14:00:03 2019,15.07,20.63,11.370999,17.018,28.711001,8.2,81,8.28
Sun Oct 20 14:10:04 2019,15.5,20.2,10.658999,18.702,27.739001,6.7,76,8.23
Sun Oct 20 14:20:03 2019,13.9,21.8,10.086,14.864,32.15,6.7,76,8.23
Sun Oct 20 14:30:03 2019,14.88,20.82,9.203,17.641,30.256,6.7,76,8.23
Sun Oct 20 14:40:04 2019,15.44,20.26,10.903,17.538,28.659,8.2,75,7.92
Sun Oct 20 14:50:03 2019,15.36,20.34,9.681999,17.549,29.869001,8.2,75,7.92
Sun Oct 20 15:00:04 2019,15.48,20.22,9.554001,19.943,27.602999,8.2,75,7.93
Sun Oct 20 15:20:04 2019,14.61,21.09,10.683001,15.594,30.822999,7.7,76,8.23
Sun Oct 20 15:30:03 2019,14.61,21.09,9.652998,15.518,31.929002,7.7,76,8.23
Sun Oct 20 15:40:03 2019,14.4,21.3,9.992998,16.86,30.247002,7.7,76,8.57
Sun Oct 20 15:50:04 2019,14.27,21.43,9.037001,14.747,33.315999,7.7,76,8.58
