Time,Live Demand,Winter Peak Demand,Orkney ANM,Non-ANM Renewable Generation,Total Renewable Capacity,Wind speed,Humidity,Temperature
Thu Oct 24 12:20:03 2019,16.18,19.52,15.152,22.838,19.11,7.7,76,11.89
Thu Oct 24 12:30:04 2019,16.19,19.51,15.297998,22.722,19.080002,7.7,76,11.89
Thu Oct 24 12:40:04 2019,15.82,19.88,15.486,22.822,18.792,7.7,81,11.88
Thu Oct 24 12:50:04 2019,15.4,20.3,14.646005,23.137,19.316995,7.7,81,11.88
Thu Oct 24 13:00:07 2019,15.99,19.71,14.588999,23.202,19.309001,7.7,81,11.87
Thu Oct 24 13:10:04 2019,15.82,19.88,15.979,23.062,18.059,8.7,76,11.87
Thu Oct 24 13:20:04 2019,15.81,19.89,15.859002,23.083,18.157998,8.7,76,11.86
Thu Oct 24 13:40:03 2019,16.15,19.55,16.553998,23.182,17.364002,10.3,81,11.3
Thu Oct 24 13:50:04 2019,15.61,20.09,17.302,20.663,19.135,10.3,81,11.3
Thu Oct 24 14:00:05 2019,15.75,19.95,16.480996,23.086,17.533004,10.3,81,11.0
Thu Oct 24 14:10:04 2019,15.86,19.84,17.252,23.22,16.628,9.3,76,10.56
Thu Oct 24 14:20:03 2019,15.44,20.26,16.646996,23.197,17.256004,9.3,76,10.56
Thu Oct 24 14:30:04 2019,15.99,19.71,16.106005,23.257,17.736995,9.3,76,10.57
Thu Oct 24 14:40:03 2019,16.09,19.61,16.703002,22.798,17.598998,9.3,76,10.57
Thu Oct 24 14:50:04 2019,16.91,18.79,17.316998,23.268,16.515002,9.8,71,10.0
Thu Oct 24 15:10:08 2019,16.39,19.31,17.235004,22.708,17.156996,10.3,76,9.56
Thu Oct 24 15:20:03 2019,16.0,19.7,17.085006,23.04,16.974994,10.3,76,9.56
Thu Oct 24 15:30:03 2019,15.99,19.71,16.399994,22.877,17.823006,10.3,76,9.57
Thu Oct 24 15:40:04 2019,15.81,19.89,17.235,22.744,17.121,10.3,70,9.0
Thu Oct 24 15:50:04 2019,15.2,20.5,17.042996,23.13,16.927004,10.3,70,9.0
Thu Oct 24 16:00:03 2019,16.06,19.64,16.261,23.269,17.57,10.3,70,9.0
Thu Oct 24 16:10:04 2019,15.64,20.06,16.581002,22.946,17.572998,10.8,70,8.44
Thu Oct 24 16:20:04 2019,15.86,19.84,16.538,23.135,17.427,10.8,70,8.44
Thu Oct 24 16:30:04 2019,15.32,20.38,16.367001,23.004,17.728999,10.8,70,8.43
Thu Oct 24 16:40:04 2019,16.17,19.53,15.945994,22.493,18.661006,8.7,75,8.0
Thu Oct 24 16:50:03 2019,16.83,18.87,16.077999,22.888,18.134001,8.7,75,8.0
Thu Oct 24 17:00:19 2019,17.38,18.32,15.762,22.351,18.987,8.7,75,8.0
Thu Oct 24 17:10:06 2019,17.21,18.49,15.54,23.005,18.555,7.7,75,7.44
Thu Oct 24 17:20:13 2019,16.59,19.11,13.612999,22.205,21.282001,7.7,75,7.44
Thu Oct 24 17:30:03 2019,17.37,18.33,15.817997,22.574,18.708003,7.7,75,7.43
Thu Oct 24 17:40:04 2019,16.51,19.19,15.535002,22.389,19.175998,7.2,75,6.44
Thu Oct 24 17:50:03 2019,17.79,17.91,15.757996,22.839,18.503004,7.2,75,6.44
Thu Oct 24 18:00:04 2019,18.02,17.68,15.697002,22.297,19.105998,7.2,75,6.43
Thu Oct 24 18:10:04 2019,17.72,17.98,14.560999,22.419,20.120001,7.7,70,6.44
Thu Oct 24 18:20:04 2019,17.0,18.7,14.597995,22.756,19.746005,7.7,70,6.44
Thu Oct 24 18:40:03 2019,17.4,18.3,15.200001,22.568,19.331999,7.2,70,5.44
Thu Oct 24 18:50:04 2019,17.8,17.9,14.522999,22.333,20.244001,7.2,70,5.44
Thu Oct 24 19:00:04 2019,16.46,19.24,13.135002,21.801,22.163998,7.2,70,5.43
Thu Oct 24 19:10:04 2019,17.49,18.21,15.473997,21.546,20.080003,5.7,70,5.44
Thu Oct 24 19:20:04 2019,19.07,16.63,14.432999,21.786,20.881001,5.7,70,5.44
Thu Oct 24 19:30:04 2019,17.46,18.24,13.496002,21.992,21.611998,5.7,70,5.43
Thu Oct 24 19:40:03 2019,17.31,18.39,11.228001,21.431,24.440999,6.7,75,4.88
Thu Oct 24 19:50:04 2019,17.15,18.55,10.903001,21.331,24.865999,6.7,75,4.87
Thu Oct 24 20:10:03 2019,17.75,17.95,12.925001,21.64,22.534999,4.6,75,4.88
Thu Oct 24 20:20:04 2019,17.59,18.11,10.82,20.229,26.051,4.6,75,4.87
Thu Oct 24 20:30:03 2019,17.78,17.92,11.587003,20.792,24.720997,4.6,75,4.86
Thu Oct 24 20:40:04 2019,17.8,17.9,10.956003,21.055,25.088997,8.7,75,4.32
Thu Oct 24 20:50:04 2019,17.87,17.83,10.170002,19.634,27.295998,8.7,75,4.31
Thu Oct 24 21:00:04 2019,16.34,19.36,11.500999,19.565,26.034001,8.7,75,4.29
Thu Oct 24 21:10:05 2019,16.78,18.92,13.626002,22.965,20.508998,5.1,81,4.32
Thu Oct 24 21:20:03 2019,16.37,19.33,13.495003,22.294,21.310997,5.1,81,4.31
Thu Oct 24 21:30:04 2019,15.29,20.41,14.385,21.601,21.114,5.1,81,4.29
Thu Oct 24 21:40:03 2019,16.18,19.52,14.683,21.994,20.423,6.7,81,4.88
Thu Oct 24 21:50:03 2019,15.34,20.36,13.41,22.55,21.14,6.7,81,4.87
Thu Oct 24 22:00:04 2019,14.87,20.83,12.973998,21.787,22.339002,6.7,81,4.86
Thu Oct 24 22:10:03 2019,15.3,20.4,15.754001,22.17,19.175999,7.2,75,4.44
Thu Oct 24 22:20:04 2019,14.58,21.12,16.008993,20.925,20.166007,7.2,75,4.44
Thu Oct 24 22:30:03 2019,14.48,21.22,15.862995,20.555,20.682005,7.2,75,4.44
Thu Oct 24 22:40:04 2019,15.48,20.22,16.491002,20.683,19.925998,8.7,75,4.88
Thu Oct 24 22:50:03 2019,14.07,21.63,16.573002,20.443,20.083998,8.7,75,4.87
Thu Oct 24 23:00:04 2019,13.88,21.82,15.421998,20.481,21.197002,8.7,75,4.86
Thu Oct 24 23:10:04 2019,13.23,22.47,15.776997,20.774,20.549003,9.3,70,4.32
Thu Oct 24 23:20:03 2019,12.75,22.95,15.629999,21.17,20.300001,9.3,70,4.32
Thu Oct 24 23:30:04 2019,13.07,22.63,14.573995,20.743,21.783005,9.3,70,4.29
Thu Oct 24 23:40:04 2019,13.19,22.51,17.109996,20.388,19.602004,9.3,70,4.29
Thu Oct 24 23:50:03 2019,12.8,22.9,16.284998,20.37,20.445002,9.3,70,4.31
Fri Oct 25 00:00:03 2019,12.21,23.49,14.577,20.551,21.972,9.3,70,4.31
Fri Oct 25 00:10:04 2019,14.43,21.27,16.046001,20.924,20.129999,9.3,63,4.32
Fri Oct 25 00:20:04 2019,14.37,21.33,15.310999,21.275,20.514001,9.3,63,4.31
Fri Oct 25 00:30:03 2019,14.27,21.43,15.544001,20.858,20.697999,9.3,63,4.29
Fri Oct 25 00:40:04 2019,15.48,20.22,16.046999,21.233,19.820001,9.3,75,3.88
Fri Oct 25 00:50:04 2019,14.73,20.97,15.306003,21.332,20.461997,9.3,75,3.87
Fri Oct 25 01:00:04 2019,16.08,19.62,14.023003,21.263,21.813997,9.3,75,3.86
Fri Oct 25 01:10:05 2019,15.01,20.69,13.786998,21.201,22.112002,8.2,63,3.44
Fri Oct 25 01:20:03 2019,15.2,20.5,14.781001,21.369,20.949999,8.2,63,3.44
Fri Oct 25 01:30:04 2019,15.47,20.23,15.053999,19.596,22.450001,8.2,63,3.43
Fri Oct 25 01:40:03 2019,15.72,19.98,16.120998,18.616,22.363002,8.2,63,3.43
Fri Oct 25 01:50:04 2019,15.9,19.8,17.117998,21.542,18.440002,8.7,75,3.31
Fri Oct 25 02:00:05 2019,15.71,19.99,16.856998,21.307,18.936002,8.7,75,3.29
Fri Oct 25 02:10:04 2019,15.52,20.18,16.358997,19.756,20.985003,8.2,75,3.32
Fri Oct 25 02:20:03 2019,14.39,21.31,16.114,20.632,20.354,8.2,75,3.32
Fri Oct 25 02:30:04 2019,15.38,20.32,16.451,20.387,20.262,8.2,75,3.29
Fri Oct 25 02:40:03 2019,15.7,20.0,16.869,19.534,20.697,8.2,75,3.29
Fri Oct 25 02:50:04 2019,16.04,19.66,17.177002,19.247,20.675998,8.7,75,3.31
Fri Oct 25 03:00:03 2019,15.94,19.76,17.319998,19.321,20.459002,8.7,75,3.31
Fri Oct 25 03:10:04 2019,16.28,19.42,16.203999,19.564,21.332001,9.8,80,2.88
Fri Oct 25 03:20:04 2019,16.65,19.05,17.166998,19.81,20.123002,9.8,80,2.87
Fri Oct 25 03:30:03 2019,16.18,19.52,17.131996,19.686,20.282004,9.8,80,2.87
Fri Oct 25 03:40:04 2019,16.39,19.31,16.882,19.221,20.997,8.7,80,2.88
Fri Oct 25 03:50:03 2019,16.2,19.5,16.637004,19.64,20.822996,8.7,80,2.88
Fri Oct 25 04:00:04 2019,16.7,19.0,16.904,19.455,20.741,8.7,80,2.86
Fri Oct 25 04:10:03 2019,17.45,18.25,17.154998,18.3,21.645002,9.3,58,3.44
Fri Oct 25 04:20:04 2019,16.42,19.28,17.085994,19.23,20.784006,9.3,58,3.44
Fri Oct 25 04:30:04 2019,16.76,18.94,16.891998,19.446,20.762002,9.3,58,3.43
Fri Oct 25 04:40:03 2019,17.64,18.06,16.899998,19.241,20.959002,9.8,80,2.88
Fri Oct 25 04:50:04 2019,16.73,18.97,16.839002,19.581,20.679998,9.8,80,2.87
Fri Oct 25 05:00:03 2019,16.72,18.98,16.442002,19.369,21.288998,9.8,80,2.86
Fri Oct 25 05:20:03 2019,16.72,18.98,16.960002,19.641,20.498998,10.3,80,2.87
Fri Oct 25 05:30:03 2019,16.97,18.73,16.974996,19.98,20.145004,10.3,80,2.86
Fri Oct 25 05:40:04 2019,17.24,18.46,16.879998,19.608,20.612002,9.8,80,2.88
Fri Oct 25 05:50:29 2019,17.87,17.83,17.553002,19.968,19.578998,9.8,80,2.87
Fri Oct 25 06:00:04 2019,17.23,18.47,17.370004,20.116,19.613996,9.8,80,2.86
Fri Oct 25 06:10:03 2019,17.51,18.19,16.724,19.667,20.709,9.8,80,2.86
Fri Oct 25 06:20:04 2019,17.76,17.94,16.874002,19.847,20.378998,9.8,86,3.44
Fri Oct 25 06:30:03 2019,17.8,17.9,17.333996,19.37,20.396004,9.8,86,3.44
Fri Oct 25 06:40:03 2019,18.25,17.45,17.264002,19.421,20.414998,12.3,80,3.44
Fri Oct 25 06:50:04 2019,18.41,17.29,17.313002,19.368,20.418998,12.3,80,3.44
Fri Oct 25 07:00:04 2019,18.78,16.92,17.429,19.734,19.937,12.3,80,3.43
Fri Oct 25 07:10:04 2019,19.31,16.39,17.182,19.682,20.236,10.8,80,3.44
Fri Oct 25 07:20:04 2019,19.98,15.72,16.994,19.958,20.148,10.8,80,3.44
Fri Oct 25 07:30:04 2019,19.79,15.91,16.717002,19.622,20.760998,10.8,80,3.43
Fri Oct 25 07:40:03 2019,19.4,16.3,17.299,19.95,19.851,10.8,80,3.43
Fri Oct 25 07:50:04 2019,19.39,16.31,17.569,19.371,20.16,11.8,80,4.0
Fri Oct 25 08:00:03 2019,19.64,16.06,16.998002,19.687,20.414998,11.8,80,4.0
Fri Oct 25 08:10:04 2019,19.6,16.1,17.553,19.616,19.931,12.9,80,3.44
Fri Oct 25 08:20:04 2019,19.58,16.12,17.424996,19.431,20.244004,12.9,80,3.44
Fri Oct 25 08:30:03 2019,19.22,16.48,17.856998,19.345,19.898002,12.9,80,3.43
Fri Oct 25 08:40:04 2019,19.33,16.37,18.026,20.081,18.993,12.9,80,4.0
Fri Oct 25 08:50:03 2019,19.54,16.16,17.279,19.93,19.891,12.9,80,4.0
Fri Oct 25 09:00:04 2019,20.03,15.67,17.293004,20.159,19.647996,12.9,80,4.0
Fri Oct 25 09:10:04 2019,19.61,16.09,17.206,19.759,20.135,12.9,80,4.0
Fri Oct 25 09:20:03 2019,19.68,16.02,17.796996,19.615,19.688004,12.9,75,4.44
Fri Oct 25 09:30:04 2019,20.16,15.54,17.583998,19.927,19.589002,12.9,75,4.43
Fri Oct 25 09:40:04 2019,19.5,16.2,17.882,18.925,20.293,11.8,75,4.44
Fri Oct 25 09:50:04 2019,18.61,17.09,17.841,13.806,25.453,11.8,75,4.44
Fri Oct 25 10:00:04 2019,17.71,17.99,17.620998,14.281,25.198002,11.8,75,4.43
Fri Oct 25 10:10:04 2019,19.17,16.53,17.887,13.992,25.221,11.8,75,5.44
Fri Oct 25 10:20:03 2019,19.72,15.98,17.800998,12.709,26.590002,11.8,75,5.44
Fri Oct 25 10:30:03 2019,18.63,17.07,17.918996,12.61,26.571004,11.8,75,5.43
Fri Oct 25 10:40:04 2019,18.32,17.38,17.294,14.781,25.025,11.8,75,5.43
Fri Oct 25 10:50:04 2019,18.63,17.07,17.694998,14.68,24.725002,11.8,75,5.44
Fri Oct 25 11:00:04 2019,19.71,15.99,17.073002,15.309,24.717998,11.8,75,5.44
Fri Oct 25 11:10:04 2019,20.82,14.88,17.527998,12.459,27.113002,11.3,81,6.0
Fri Oct 25 11:20:03 2019,19.89,15.81,17.783,10.29,29.027,11.3,81,6.61
Fri Oct 25 11:30:04 2019,19.93,15.77,17.352002,10.367,29.380998,11.3,81,6.62
Fri Oct 25 11:40:03 2019,19.26,16.44,17.535,10.412,29.153,11.3,81,6.62
Fri Oct 25 11:50:04 2019,19.3,16.4,17.704002,13.159,26.236998,12.9,75,7.12
Fri Oct 25 12:00:04 2019,18.83,16.87,17.130998,8.658,31.311002,12.9,75,7.12
Fri Oct 25 12:10:04 2019,20.05,15.65,16.018002,9.008,32.073998,12.3,75,7.47
Fri Oct 25 12:20:03 2019,19.0,16.7,17.026998,8.949,31.124002,12.3,75,7.47
Fri Oct 25 12:30:03 2019,18.08,17.62,16.472002,6.404,34.223998,12.3,75,7.45
Fri Oct 25 12:40:04 2019,17.71,17.99,16.841,11.201,29.058,11.8,75,8.01
Fri Oct 25 12:50:04 2019,17.52,18.18,16.028999,6.967,34.104001,11.8,75,8.02
Fri Oct 25 13:00:04 2019,18.35,17.35,17.788002,10.439,28.872998,11.8,75,7.99
Fri Oct 25 13:10:04 2019,17.93,17.77,17.493002,11.325,28.281998,11.3,81,7.62
Fri Oct 25 13:20:04 2019,18.98,16.72,17.298002,15.861,23.940998,11.3,81,7.62
Fri Oct 25 13:30:04 2019,18.11,17.59,17.566998,15.868,23.665002,11.3,81,7.8
Fri Oct 25 13:40:03 2019,19.03,16.67,17.779002,16.62,22.700998,13.4,81,7.82
Fri Oct 25 13:50:04 2019,17.77,17.93,17.451998,10.522,29.126002,13.4,81,7.82
Fri Oct 25 14:10:05 2019,18.67,17.03,17.265002,12.836,26.998998,14.4,70,7.53
Fri Oct 25 14:20:04 2019,18.76,16.94,17.731998,17.434,21.934002,14.4,70,7.53
Fri Oct 25 14:40:03 2019,18.69,17.01,17.810998,13.92,25.369002,12.9,70,7.53
Fri Oct 25 14:50:04 2019,19.54,16.16,17.830996,16.349,22.920004,12.9,70,7.53
Fri Oct 25 15:00:06 2019,18.96,16.74,17.692,13.778,25.63,12.9,70,7.74
Fri Oct 25 15:20:03 2019,18.83,16.87,17.844004,16.011,23.244996,12.3,81,7.42
Fri Oct 25 15:30:05 2019,18.6,17.1,17.874,19.657,19.569,12.3,81,7.43
Fri Oct 25 15:40:03 2019,18.73,16.97,17.911994,18.243,20.945006,11.8,81,7.23
Fri Oct 25 15:50:04 2019,19.13,16.57,17.658998,19.245,20.196002,11.8,81,7.23
Fri Oct 25 16:00:04 2019,19.1,16.6,17.835996,19.641,19.623004,11.8,81,7.43
Fri Oct 25 16:10:04 2019,18.76,16.94,17.857998,18.355,20.887002,13.9,75,7.42
Fri Oct 25 16:20:04 2019,17.67,18.03,17.729,17.966,21.405,13.9,75,7.43
Fri Oct 25 16:30:05 2019,18.59,17.11,17.747998,19.465,19.887002,13.9,75,7.43
Fri Oct 25 16:40:04 2019,19.61,16.09,17.939006,19.821,19.339994,12.3,75,7.08
Fri Oct 25 16:50:04 2019,19.45,16.25,17.685002,19.548,19.866998,12.3,75,7.08
Fri Oct 25 17:00:04 2019,18.65,17.05,17.515004,19.03,20.554996,12.3,75,7.08
Fri Oct 25 17:10:04 2019,18.9,16.8,17.715998,19.343,20.041002,12.3,75,7.08
Fri Oct 25 17:20:04 2019,18.71,16.99,17.795004,19.511,19.793996,12.3,70,7.08
Fri Oct 25 17:30:04 2019,19.15,16.55,17.689998,19.684,19.726002,12.3,70,7.08
Fri Oct 25 17:40:04 2019,18.96,16.74,17.68,19.555,19.865,10.3,75,7.28
Fri Oct 25 17:50:03 2019,19.78,15.92,17.857,19.892,19.351,10.3,75,7.28
Fri Oct 25 18:00:03 2019,19.6,16.1,17.383,19.798,19.919,10.3,75,7.07
Fri Oct 25 18:10:04 2019,19.42,16.28,17.374,19.602,20.124,10.3,75,6.74
Fri Oct 25 18:20:03 2019,19.74,15.96,17.616002,19.719,19.764998,10.3,75,6.74
Fri Oct 25 18:30:04 2019,20.28,15.42,17.879,19.446,19.775,10.3,75,6.72
Fri Oct 25 18:40:04 2019,19.26,16.44,17.757,19.741,19.602,10.8,81,6.44
Fri Oct 25 18:50:04 2019,18.98,16.72,17.320004,19.714,20.065996,10.8,81,6.42
Fri Oct 25 19:00:06 2019,19.13,16.57,17.042,19.388,20.67,10.8,81,6.42
Fri Oct 25 19:10:03 2019,19.19,16.51,17.369998,19.311,20.419002,10.8,81,6.42
Fri Oct 25 19:20:03 2019,19.2,16.5,17.506,19.27,20.324,10.8,81,6.08
Fri Oct 25 19:30:04 2019,19.75,15.95,17.467,19.821,19.812,10.8,81,6.05
Fri Oct 25 19:40:04 2019,19.31,16.39,17.675998,19.899,19.525002,9.8,81,5.9
Fri Oct 25 19:50:04 2019,18.87,16.83,17.332996,19.355,20.412004,9.8,81,5.9
Fri Oct 25 20:00:03 2019,19.15,16.55,17.276,19.303,20.521,9.8,81,5.87
Fri Oct 25 20:10:03 2019,20.33,15.37,17.475996,19.361,20.263004,10.3,75,5.9
Fri Oct 25 20:20:03 2019,20.55,15.15,17.684004,19.94,19.475996,10.3,75,5.88
Fri Oct 25 20:30:04 2019,19.19,16.51,17.456998,19.177,20.466002,10.3,75,5.88
Fri Oct 25 20:40:03 2019,19.58,16.12,17.706996,19.481,19.912004,10.3,75,5.9
Fri Oct 25 20:50:04 2019,19.35,16.35,16.729,19.373,20.998,10.3,75,5.89
Fri Oct 25 21:00:04 2019,18.97,16.73,17.421002,19.492,20.186998,10.3,75,5.89
Fri Oct 25 21:10:04 2019,17.73,17.97,17.282002,19.188,20.629998,4.1,64,5.58
Fri Oct 25 21:20:04 2019,17.78,17.92,17.434998,19.536,20.129002,4.1,64,5.58
Fri Oct 25 21:30:03 2019,16.77,18.93,17.855,19.182,20.063,4.1,64,5.25
Fri Oct 25 21:40:04 2019,17.0,18.7,17.673996,19.664,19.762004,3.6,69,5.37
Fri Oct 25 21:50:04 2019,16.72,18.98,17.438,19.527,20.135,3.6,69,5.3
Fri Oct 25 22:00:04 2019,16.55,19.15,17.608,19.815,19.677,3.6,69,5.25
Fri Oct 25 22:10:03 2019,16.98,18.72,17.286,20.019,19.795,4.6,65,5.88
Fri Oct 25 22:20:04 2019,16.18,19.52,17.733002,20.097,19.269998,4.6,65,5.82
Fri Oct 25 22:30:04 2019,15.8,19.9,17.312,19.532,20.256,4.6,65,5.78
Fri Oct 25 22:40:03 2019,15.78,19.92,17.649002,19.443,20.007998,4.6,65,5.78
Fri Oct 25 22:50:03 2019,15.72,19.98,17.383996,19.845,19.871004,5.7,65,5.82
Fri Oct 25 23:00:04 2019,15.06,20.64,17.065998,19.689,20.345002,5.7,65,5.8
Fri Oct 25 23:10:04 2019,15.05,20.65,16.659,19.313,21.128,5.7,65,5.8
Fri Oct 25 23:20:04 2019,15.43,20.27,16.521998,19.268,21.310002,4.1,69,5.34
Fri Oct 25 23:30:03 2019,14.87,20.83,17.132002,19.718,20.249998,4.1,69,5.34
Fri Oct 25 23:40:04 2019,13.96,21.74,16.592,19.745,20.763,4.6,67,5.37
Fri Oct 25 23:50:04 2019,14.04,21.66,16.772998,19.781,20.546002,4.6,67,5.37
Sat Oct 26 00:00:04 2019,14.19,21.51,17.010998,19.285,20.804002,4.6,67,5.37
Sat Oct 26 00:10:04 2019,15.31,20.39,16.066999,19.687,21.346001,4.1,69,5.69
Sat Oct 26 00:20:03 2019,15.02,20.68,16.758998,19.914,20.427002,4.1,69,5.69
Sat Oct 26 00:30:04 2019,15.56,20.14,16.364,19.568,21.168,4.1,69,5.51
Sat Oct 26 00:40:03 2019,16.52,19.18,16.965998,19.251,20.883002,5.1,69,5.73
Sat Oct 26 00:50:04 2019,16.54,19.16,17.378,19.312,20.41,5.1,69,5.03
Sat Oct 26 01:00:04 2019,16.71,18.99,16.911998,19.429,20.759002,5.1,69,5.03
Sat Oct 26 01:10:04 2019,16.21,19.49,17.029,19.497,20.574,5.7,69,5.37
Sat Oct 26 01:20:03 2019,16.19,19.51,17.399998,19.47,20.230002,5.7,69,5.37
Sat Oct 26 01:40:04 2019,16.61,19.09,17.287002,19.432,20.380998,6.7,68,5.86
Sat Oct 26 01:50:03 2019,15.77,19.93,16.869002,15.872,24.358998,6.7,68,5.86
Sat Oct 26 02:00:04 2019,15.81,19.89,17.033,18.561,21.506,6.7,68,6.02
Sat Oct 26 02:10:04 2019,15.29,20.41,16.804002,16.316,23.979998,6.7,68,6.17
Sat Oct 26 02:20:04 2019,15.35,20.35,16.964,18.41,21.726,6.7,68,6.09
Sat Oct 26 02:30:03 2019,15.54,20.16,17.189998,19.874,20.036002,6.7,76,6.07
Sat Oct 26 02:40:04 2019,15.57,20.13,17.033998,19.32,20.746002,6.2,76,6.42
Sat Oct 26 02:50:03 2019,16.61,19.09,16.817,19.563,20.72,6.2,76,6.37
Sat Oct 26 03:00:04 2019,16.51,19.19,17.373002,19.666,20.060998,6.2,76,6.37
Sat Oct 26 03:10:04 2019,15.94,19.76,16.175999,19.713,21.211001,6.2,76,6.37
Sat Oct 26 03:20:04 2019,16.88,18.82,16.361,19.568,21.171,5.1,76,4.0
Sat Oct 26 03:30:04 2019,16.54,19.16,17.079998,19.419,20.601002,5.1,76,4.0
Sat Oct 26 03:40:03 2019,17.14,18.56,17.155,19.856,20.089,5.1,76,4.0
Sat Oct 26 03:50:04 2019,16.34,19.36,17.359,19.343,20.398,6.7,76,5.0
Sat Oct 26 04:00:03 2019,16.75,18.95,16.165998,19.968,20.966002,6.7,76,5.0
Sat Oct 26 04:10:04 2019,17.17,18.53,17.412996,18.997,20.690004,5.1,76,5.0
Sat Oct 26 04:20:04 2019,16.37,19.33,17.398,19.188,20.514,5.1,76,5.0
Sat Oct 26 04:30:03 2019,16.98,18.72,17.158002,19.675,20.266998,5.1,76,5.0
Sat Oct 26 04:40:04 2019,17.54,18.16,15.578997,19.592,21.929003,4.6,75,5.0
Sat Oct 26 04:50:03 2019,16.73,18.97,16.106003,19.437,21.556997,4.6,75,5.0
Sat Oct 26 05:00:03 2019,16.4,19.3,16.277996,18.974,21.848004,4.6,75,5.0
Sat Oct 26 05:10:04 2019,15.82,19.88,16.851998,19.18,21.068002,5.7,75,5.0
Sat Oct 26 05:20:03 2019,16.03,19.67,16.730002,19.652,20.717998,5.7,75,5.0
Sat Oct 26 05:30:03 2019,16.88,18.82,15.35,20.138,21.612,5.7,75,5.0
Sat Oct 26 05:40:04 2019,17.07,18.63,16.622002,19.514,20.963998,7.2,75,5.0
Sat Oct 26 05:50:03 2019,17.03,18.67,17.062996,19.474,20.563004,7.2,75,5.0
Sat Oct 26 06:00:04 2019,16.85,18.85,15.184002,19.69,22.225998,7.2,75,5.0
Sat Oct 26 06:10:04 2019,16.89,18.81,16.404,19.458,21.238,7.2,75,5.0
Sat Oct 26 06:20:03 2019,17.14,18.56,15.837997,19.752,21.510003,7.7,75,6.0
Sat Oct 26 06:30:04 2019,17.53,18.17,16.227001,19.29,21.582999,7.7,75,6.0
Sat Oct 26 06:40:03 2019,17.0,18.7,13.886,19.871,23.343,8.7,87,5.88
Sat Oct 26 06:50:04 2019,17.02,18.68,14.487,19.837,22.776,8.7,87,5.87
Sat Oct 26 07:00:23 2019,16.51,19.19,16.334004,19.67,21.095996,8.7,87,5.86
Sat Oct 26 07:10:09 2019,16.75,18.95,15.765003,18.527,22.807997,8.2,87,5.88
Sat Oct 26 07:20:24 2019,16.92,18.78,15.173004,18.941,22.985996,8.2,87,5.87
Sat Oct 26 07:30:19 2019,16.99,18.71,15.662999,19.328,22.109001,8.2,87,5.86
Sat Oct 26 07:40:03 2019,17.08,18.62,15.623998,19.628,21.848002,8.2,87,5.86
Sat Oct 26 07:50:13 2019,16.81,18.89,14.477999,19.547,23.075001,7.2,87,5.87
Sat Oct 26 08:00:03 2019,16.81,18.89,13.973001,20.014,23.112999,7.2,87,5.86
Sat Oct 26 08:10:49 2019,16.83,18.87,12.888998,19.762,24.449002,8.2,87,5.88
Sat Oct 26 08:20:04 2019,17.51,18.19,14.059999,18.983,24.057001,8.2,87,5.87
Sat Oct 26 08:30:03 2019,17.25,18.45,12.961,18.232,25.907,8.2,87,5.87
Sat Oct 26 08:40:04 2019,16.63,19.07,11.51,18.104,27.486,8.2,81,5.88
Sat Oct 26 08:50:03 2019,16.49,19.21,15.336999,18.268,23.495001,8.2,81,5.87
Sat Oct 26 09:10:04 2019,17.1,18.6,13.760004,19.689,23.650996,7.2,87,5.88
Sat Oct 26 09:20:03 2019,18.43,17.27,12.771002,19.389,24.939998,7.2,87,5.87
Sat Oct 26 09:30:04 2019,17.61,18.09,12.257999,19.292,25.550001,7.2,87,5.86
Sat Oct 26 09:40:04 2019,17.3,18.4,13.477999,19.527,24.095001,7.2,87,5.86
Sat Oct 26 09:50:04 2019,17.12,18.58,14.919,17.496,24.685,7.7,87,5.87
Sat Oct 26 10:00:03 2019,17.75,17.95,13.306004,18.947,24.846996,7.7,87,5.86
Sat Oct 26 10:10:04 2019,17.2,18.5,13.626004,18.191,25.282996,6.7,87,7.12
Sat Oct 26 10:20:04 2019,16.93,18.77,10.542999,18.859,27.698001,6.7,87,7.13
Sat Oct 26 10:30:04 2019,16.27,19.43,12.678999,17.486,26.935001,6.7,87,6.91
Sat Oct 26 10:40:03 2019,18.41,17.29,12.729999,19.341,25.029001,6.7,87,6.91
Sat Oct 26 10:50:04 2019,17.44,18.26,12.139,16.844,28.117,6.7,87,6.9
Sat Oct 26 11:00:03 2019,17.85,17.85,9.285999,18.171,29.643001,6.7,87,6.9
Sat Oct 26 11:10:04 2019,18.45,17.25,9.917002,17.473,29.709998,6.7,87,6.9
Sat Oct 26 11:20:03 2019,18.56,17.14,8.946002,16.215,31.938998,6.7,87,6.89
Sat Oct 26 11:30:03 2019,17.82,17.88,7.405001,15.204,34.490999,5.36,85,7.78
Sat Oct 26 11:40:03 2019,18.03,17.67,10.600998,16.19,30.309002,5.36,85,7.78
Sat Oct 26 11:50:03 2019,18.4,17.3,11.507999,18.558,27.034001,5.36,85,7.78
Sat Oct 26 12:00:04 2019,17.71,17.99,8.986,15.544,32.57,5.36,85,7.78
Sat Oct 26 12:10:03 2019,19.4,16.3,10.043001,15.5,31.556999,5.36,85,7.78
Sat Oct 26 12:20:04 2019,17.16,18.54,11.306001,13.737,32.056999,11.14,71,9.23
Sat Oct 26 12:30:04 2019,16.52,19.18,10.750999,14.96,31.389001,11.14,71,9.23
Sat Oct 26 12:40:04 2019,16.78,18.92,11.994001,18.076,27.029999,11.14,71,9.23
