Time,CoreZone,Zone1,Zone1A,Zone2,Zone2A,Zone2B,Zone3,Zone4,Zone4A
Mon Nov 18 10:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 10:30:07 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 10:40:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 10:50:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 11:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 11:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 11:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 11:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 11:40:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 11:50:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 12:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 12:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 12:20:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 12:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 12:40:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 12:50:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 13:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 13:10:04 2019,111,111,111,111,111,011,111,111,111
Mon Nov 18 13:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 13:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 13:40:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 13:50:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 14:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 14:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 14:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 14:30:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 14:40:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 14:50:05 2019,111,111,111,111,111,011,111,111,111
Mon Nov 18 15:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 15:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 15:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 15:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 15:40:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 15:50:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 16:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 16:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 16:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 16:30:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 16:40:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 16:50:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 17:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 17:10:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 17:20:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 17:30:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 17:40:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 17:50:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 18:00:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 18:10:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 18:20:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 18:30:04 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 18:40:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 18:50:05 2019,111,111,111,111,111,111,111,111,111
Mon Nov 18 19:00:05 2019,111,111,111,111,111,111,111,111,111
